,t1,t1ce,t2,flair
0,475.6609291031227,1439.3654584241103,346.10631683460423,399.82623956063907
1,676.6941849355483,2502.1420576888163,3492.5038006082063,231.77399748093683
2,201.5714691131082,20.87539794389978,1538.5324349809368,169.6497440087146
3,315.9244283315178,20.432361451525054,3008.7428071668483,240.92794877904865
4,2161.752367465505,5068.412726488744,4048.6907670660858,881.1566190087146
5,250.39851500090776,569.3725305237836,962.8193950844227,86.70323608841684
6,573.3356751543209,1372.8784109477124,3311.0514364333694,186.91877473674654
7,746.8067618690995,1488.5179212055193,162.0431281771968,244.69415327705156
8,645.2758773602034,1761.2778098901597,463.35899555192447,253.30907623002904
9,721.5577598493101,1666.576348493101,550.3001838235294,278.5812580564633
10,681.5060043346042,1553.3666531635802,116.92478939724037,165.61463189905592
11,272.5267148919753,601.3880855119826,833.516119734931,82.31008419571532
12,219.913161083878,34.71055044934641,1732.631371300835,155.10494984567902
13,1755.6974990922295,4499.9403601579525,4323.874173248003,612.8059658678286
14,865.8098664442629,1852.3533568218954,357.574721768337,291.50419662309366
15,488.45018166757444,2144.4954807779595,7043.9701598810825,767.1271728622004
16,1257.3692074028686,5302.588893881627,7038.2670989923745,670.6372510439361
17,264.1778799019608,521.8011970088961,1168.354038671024,277.3825120279593
18,456.92741569081335,733.0786884985475,989.882079248366,242.38852873093683
19,2985.5735909132172,4307.88698983297,2422.758979552469,914.379120597313
20,3783.001923679194,140.22674496187364,6838.184859182099,405.44372900780684
21,290.5830064224764,1013.3432405137982,490.38580541938995,309.8434319399056
22,377.53065291394336,43.632073007443715,789.3542763934278,100.18257194081336
23,344.01015420751634,419.62583673747275,1089.3066229802107,158.18398885711693
24,1383.7781113834424,5791.18300154321,9496.107773352396,609.4365795206971
25,668.4552087872186,1467.5402145742555,343.02980880083516,339.66524373638345
26,522.7956176243646,906.6398699618736,1338.6853771786493,497.96253109114014
27,624.7426729302832,2752.066742465505,10506.345099968228,628.2777598493101
28,322.36557371096586,688.6895456608569,4750.264651075708,554.6292135303196
29,972.7993837372912,2510.143131127451,537.622059050472,523.8648648556645
30,388.8301570442992,735.8343459513435,4892.662999046841,751.6838254584242
31,867.2362819989107,3635.965040055374,2594.198807303014,2069.344547022513
32,643.3835114832971,1162.0114413126362,307.8755229892883,246.17112779139433
33,726.5103407543573,1236.4265410539215,1383.8969921023966,240.64614742193174
34,225.77388730029048,449.7802109431736,760.0769077932099,116.66965640885984
35,838.7060777505446,2116.835880991285,382.4076579520697,483.5093445896877
36,617.3771295161583,1453.8545842411038,544.2451603349673,413.9599348674655
37,474.8749099037763,2275.627726602215,1025.0167632307553,952.7822268745462
38,608.5002823166303,2852.0060813816267,3480.4518664896514,206.99615615922295
39,5622.531839710421,14730.660306939906,12707.656421682099,2213.953858932462
40,795.4819799609659,4212.583297930283,5871.095760598221,402.0196215731663
41,487.7939710421206,91.55787048384168,1289.9918760212418,113.11913262527233
42,2566.2917466639433,3781.1102509985476,4550.7929848629265,5296.792798202614
43,1817.1686801016704,10176.160851034858,13829.180790554648,786.3882726261801
44,12705.79024078613,26939.51524158043,12973.387553444989,1207.6654025962237
45,1089.0545008396878,25461.7451700935,6187.015238403232,369.9526729302832
46,3116.325114379085,9642.719148284314,3436.481854802106,1561.3424185275962
47,104.86622787309368,223.65618917937545,251.7628322440087,49.10370166122004
48,655.3559540668119,394.8930423928831,589.2858302696078,140.7801051879085
49,438.70564996368915,724.5114853395062,1426.954897535403,396.1460430283224
50,967.9765938180827,1031.6753194217501,1369.7195006127452,1174.3309419253812
51,240.08972086056644,372.58258703249817,392.90131615377635,139.37128880718953
52,341.8479216594045,5888.34257852215,1594.913926447894,115.12490082607117
53,602.0660872821351,8343.253025485657,311.2193552559913,222.32701638525782
54,248.73749965958606,358.0848727986565,965.1076304920116,119.44204384531591
55,730.3645526960785,79.96475875998547,215.23140329974584,621.3876826888163
56,346.29826014433553,490.9772054284677,1081.5984734704066,118.21001849582426
57,4206.874085080792,9901.989007466413,9833.711909608752,1363.647542892157
